branch;chainage;type_code;station_label;dfs0
B15;9074.0;1;BL/93 ;.\Waterdemand2.dfs0
B16;6537.0;1;BL/93 ;.\Waterdemand2.dfs0
B17;1595.0;1;BL/93 ;.\Waterdemand2.dfs0
B18;3164.0;1;BL/93 ;.\Waterdemand2.dfs0
B19;1750.0;1;BL/93 ;.\Waterdemand2.dfs0
B20;1006.0;1;BL/93 ;.\Waterdemand2.dfs0
B21;4627.0;1;BL/93 ;.\Waterdemand2.dfs0
B22;3775.0;1;BL/93 ;.\Waterdemand2.dfs0
B23;1270.0;1;BL/93 ;.\Waterdemand2.dfs0
B24;3835.0;1;BL/93 ;.\Waterdemand2.dfs0
B25;5082.0;1;BL/93 ;.\Waterdemand2.dfs0
B26;6275.0;1;BL/93 ;.\Waterdemand2.dfs0
B27;10426.0;1;BL/93 ;.\Waterdemand2.dfs0
B28;4248.0;1;BL/92 ;.\Waterdemand2.dfs0
B29;1909.0;1;BL/93 ;.\Waterdemand2.dfs0
B30;8052.0;1;BL/93 ;.\Waterdemand2.dfs0
B31;408.0;1;BL/93 ;.\Waterdemand2.dfs0
BA AI 1;2000.0;1;W37 ;.\Waterdemand2.dfs0
BA CHIEU;7000.0;1;W16 ;.\Waterdemand2.dfs0
BA CHIEU;16000.0;1;W16 ;.\Waterdemand2.dfs0
BA CHIEU;19000.0;1;W16 ;.\Waterdemand2.dfs0
Ba Hong Minh;5500.0;1; WEVC/114 ;.\Waterdemand2.dfs0
Ba Ke;9063.0;1; LXQ/2 ;.\Waterdemand2.dfs0
Ba Ke;45775.0;1; LXQ/5 ;.\Waterdemand2.dfs0
Ba Ke;49563.0;1; LXQ/12 ;.\Waterdemand2.dfs0
Ba Ke;63788.0;1; LXQ/13 ;.\Waterdemand2.dfs0
Ba Ke;74025.0;1; LXQ/14 ;.\Waterdemand2.dfs0
BA NGAN;2000.0;1;W19 ;.\Waterdemand2.dfs0
BA QUY;2000.0;1;W37 ;.\Waterdemand2.dfs0
BA QUY;2500.0;1;W37 ;.\Waterdemand2.dfs0
BA QUY;4000.0;1;W37 ;.\Waterdemand2.dfs0
Ba Rai;10229.0;1; PR/99 ;.\Waterdemand2.dfs0
Ba Rai;18541.0;1; PR/100 ;.\Waterdemand2.dfs0
BA THA;200.0;1;W41 ;.\Waterdemand2.dfs0
Ba The;45822.0;1; LXQ/12 ;.\Waterdemand2.dfs0
Ba The;49000.0;1; LXQ/12 ;.\Waterdemand2.dfs0
Ba The Moi;10500.0;1; LXQ/13 ;.\Waterdemand2.dfs0
Ba The Moi;16500.0;1; LXQ/12 ;.\Waterdemand2.dfs0
Ba Vom;2500.0;1; WEVC/115 ;.\Waterdemand2.dfs0
BA XA;2000.0;1;W27 ;.\Waterdemand2.dfs0
BA XA;2600.0;1;W27 ;.\Waterdemand2.dfs0
Bac Dong;4791.0;1; PR/107 ;.\Waterdemand2.dfs0
