tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
VamNao;2011-10-01 20:00:00;72000.0;47;1510;-21.7944;4.141;6883.913;0.06987;0.8581;25.935;6883.913
ChauDoc;2011-10-01 21:00:00;75600.0;3;62;-18.895;5.338;8006.244;0.10386;1.298;24.233;8006.244
CanTho;2011-10-01 21:00:00;75600.0;6;269;-26.9112;2.449;15016.739;0.05886;0.8013;29.36;15016.739
TanChau;2011-10-01 21:00:00;75600.0;29;1126;-32.2556;4.605;23869.047;0.09081;1.3653;36.861;23869.047
MyThuan;2011-10-01 21:00:00;75600.0;32;1305;-25.7667;1.97;17195.697;0.07484;1.0267;27.737;17195.697
VamNao;2011-10-01 21:00:00;75600.0;47;1510;-21.7944;4.218;6858.339;0.06923;0.8509;26.013;6858.339
ChauDoc;2011-10-01 22:00:00;79200.0;3;62;-18.895;5.392;8016.687;0.10347;1.2953;24.287;8016.687
CanTho;2011-10-01 22:00:00;79200.0;6;269;-26.9112;2.325;16065.627;0.06352;0.8629;29.236;16065.627
TanChau;2011-10-01 22:00:00;79200.0;29;1126;-32.2556;4.676;24240.547;0.09181;1.3823;36.932;24240.547
MyThuan;2011-10-01 22:00:00;79200.0;32;1305;-25.7667;1.804;18087.59;0.07956;1.0893;27.571;18087.59
VamNao;2011-10-01 22:00:00;79200.0;47;1510;-21.7944;4.269;7125.874;0.07157;0.8812;26.064;7125.874
ChauDoc;2011-10-01 23:00:00;82800.0;3;62;-18.895;5.434;8066.438;0.1037;1.3;24.329;8066.438
CanTho;2011-10-01 23:00:00;82800.0;6;269;-26.9112;2.194;16803.686;0.06704;0.9088;29.105;16803.686
TanChau;2011-10-01 23:00:00;82800.0;29;1126;-32.2556;4.719;24715.42;0.09336;1.4068;36.975;24715.42
MyThuan;2011-10-01 23:00:00;82800.0;32;1305;-25.7667;1.627;18851.525;0.08387;1.1458;27.394;18851.525
VamNao;2011-10-01 23:00:00;82800.0;47;1510;-21.7944;4.291;7357.828;0.07374;0.9085;26.086;7357.828
ChauDoc;2011-10-02 00:00:00;86400.0;3;62;-18.895;5.46;8135.456;0.10434;1.309;24.355;8135.456
CanTho;2011-10-02 00:00:00;86400.0;6;269;-26.9112;2.061;17332.365;0.0698;0.944;28.972;17332.365
TanChau;2011-10-02 00:00:00;86400.0;29;1126;-32.2556;4.739;25122.797;0.09479;1.4287;36.995;25122.797
MyThuan;2011-10-02 00:00:00;86400.0;32;1305;-25.7667;1.455;19356.266;0.08708;1.1872;27.222;19356.266
VamNao;2011-10-02 00:00:00;86400.0;47;1510;-21.7944;4.293;7594.334;0.07611;0.9377;26.087;7594.334
ChauDoc;2011-10-02 01:00:00;90000.0;3;62;-18.895;5.473;8207.785;0.10514;1.3195;24.368;8207.785
CanTho;2011-10-02 01:00:00;90000.0;6;269;-26.9112;1.943;17613.961;0.07153;0.9655;28.854;17613.961
TanChau;2011-10-02 01:00:00;90000.0;29;1126;-32.2556;4.735;25349.912;0.09567;1.4419;36.99;25349.912
MyThuan;2011-10-02 01:00:00;90000.0;32;1305;-25.7667;1.311;19516.451;0.08863;1.2062;27.078;19516.451
VamNao;2011-10-02 01:00:00;90000.0;47;1510;-21.7944;4.278;7764.391;0.07792;0.9596;26.073;7764.391
ChauDoc;2011-10-02 02:00:00;93600.0;3;62;-18.895;5.471;8258.463;0.1058;1.3278;24.366;8258.463
CanTho;2011-10-02 02:00:00;93600.0;6;269;-26.9112;1.856;17605.059;0.07194;0.9695;28.767;17605.059
TanChau;2011-10-02 02:00:00;93600.0;29;1126;-32.2556;4.702;25306.102;0.09569;1.4414;36.958;25306.102
MyThuan;2011-10-02 02:00:00;93600.0;32;1305;-25.7667;1.219;19291.32;0.08815;1.1982;26.985;19291.32
VamNao;2011-10-02 02:00:00;93600.0;47;1510;-21.7944;4.246;7837.88;0.0789;0.9706;26.041;7837.88
ChauDoc;2011-10-02 03:00:00;97200.0;3;62;-18.895;5.45;8278.38;0.10627;1.3328;24.345;8278.38
CanTho;2011-10-02 03:00:00;97200.0;6;269;-26.9112;1.85;16979.961;0.06941;0.9354;28.761;16979.961
TanChau;2011-10-02 03:00:00;97200.0;29;1126;-32.2556;4.648;25097.453;0.09523;1.4329;36.904;25097.453
MyThuan;2011-10-02 03:00:00;97200.0;32;1305;-25.7667;1.243;18238.162;0.0832;1.1313;27.01;18238.162
VamNao;2011-10-02 03:00:00;97200.0;47;1510;-21.7944;4.198;7801.105;0.07888;0.9691;25.992;7801.105
ChauDoc;2011-10-02 04:00:00;100800.0;3;62;-18.895;5.41;8268.848;0.10654;1.3346;24.305;8268.848
CanTho;2011-10-02 04:00:00;100800.0;6;269;-26.9112;2.043;14923.467;0.06017;0.8136;28.954;14923.467
