survey_name;river;file_stem;chainage_survey;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;n_pts;width_m;z_bed;z_bank_L;z_bank_R;awet_m2;sec_file
SH32P;BASSAC;SongHau;163050.0;599549.3040807641;1102279.5883337804;Hau_7;8726.1;70.0;166;649.8;-15.09;2.14;1.6;5686.8;SongHau_SH32P.csv
SH32;BASSAC;SongHau;163050.0;597217.4939102642;1099440.180932298;BASSAC;164177.2;12.3;249;985.6;-21.24;1.73;3.12;15069.9;SongHau_SH32.csv
SH33;BASSAC;SongHau;169200.0;601691.4376957464;1095278.7358146938;BASSAC;170488.8;50.9;200;789.0;-18.37;0.87;1.73;10918.3;SongHau_SH33.csv
SH34;BASSAC;SongHau;174900.0;605493.294691367;1091325.381628203;BASSAC;176015.3;134.0;182;698.7;-18.8;0.39;1.97;8960.2;SongHau_SH34.csv
SH35;BASSAC;SongHau;179800.0;610335.3964234702;1089031.4255024719;Hau_7;26170.0;20.0;737;3446.3;-12.38;1.81;2.56;32222.3;SongHau_SH35.csv
SH36;BASSAC;SongHau;185450.0;613716.2268292602;1084875.702093873;BASSAC;186668.9;107.4;666;3317.2;-12.98;1.65;2.21;31873.1;SongHau_SH36.csv
SH36A;BASSAC;SongHau;190400.0;617006.2144783727;1081456.7051509772;BASSAC;191523.2;82.8;591;3263.0;-17.29;2.22;2.14;29444.1;SongHau_SH36A.csv
SH37;BASSAC;SongHau;194850.0;620454.5681201773;1079252.8233372075;CuaDinhAn;2871.9;97.0;374;1706.7;-12.79;1.13;2.11;21185.3;SongHau_SH37.csv
SH37P;BASSAC;SongHau;194850.0;618650.3251675959;1077448.0034732027;CuaTranDe;3245.4;158.7;354;1684.6;-9.75;2.5;2.41;13544.0;SongHau_SH37P.csv
SH38;BASSAC;SongHau;199500.0;624148.2026195797;1075647.387802201;CuaDinhAn;8069.0;54.5;447;2179.4;-14.78;1.45;0.38;22579.3;SongHau_SH38.csv
SH38P;BASSAC;SongHau;199500.0;620558.7132914222;1072855.5879549438;CuaTranDe;8222.1;46.9;277;1311.7;-9.81;-0.44;2.19;11181.7;SongHau_SH38P.csv
