ten;vn;kmz;song;pre;num;suf;x_utm;y_utm;co_z;ch_survey;rong_excel;rong_tuyen;z_day;n_pt;file_excel;mike1;mike1_ch;mike1_d;mike2;mike2_ch;mike2_d;mike3;mike3_ch;mike3_d
CC7P;CC7P;CC;CoChien;CC;7;P;629554.0;1125868.0;yes;30450.0;713.6;1093.0;-17.41;150;SongCoChien;CoChien_3;3595.2;26.7;C08;7064.2;370.6;CoChien;31805.7;1236.7
CC8;CC8;CC;CoChien;CC;8;;630087.2;1120471.0;yes;35350.0;785.5;1178.1;-20.82;205;SongCoChien;CoChien;36969.6;7.2;Kenh_16;1900.9;2978.1;;;
CC8P;CC8P;CC;CoChien;CC;8;P;632963.0;1122694.2;yes;35350.0;639.3;608.7;-14.93;165;SongCoChien;CoChien_3;8269.2;50.9;C38;3441.0;76.0;C41;0.0;709.7
CC9;CC9;CC;CoChien;CC;9;;633037.2;1117361.5;yes;39800.0;1228.5;1366.0;-18.2;318;SongCoChien;CoChien;41263.1;57.2;VUNGLIEM_CRECK;0.0;488.6;;;
CC9P;CC9P;CC;CoChien;CC;9;P;635734.7;1119093.2;yes;39800.0;944.5;949.7;-13.63;247;SongCoChien;CoChien_3;12861.7;36.3;C12;17600.5;645.3;C13;11733.5;1979.0
CC10;CC10;CC;CoChien;CC;10;;637353.3;1113178.3;yes;44700.0;1437.9;938.7;-15.61;374;SongCoChien;CoChien;47345.9;30.8;CAIHOP;1669.0;958.2;Dua_do_Creck;0.0;1042.9
CC10P1;CC10P1;CC;CoChien;CC;10;P1;637558.3;1114073.7;no;;;793.6;;;;CoChien;47050.9;900.8;CAIHOP;912.9;1551.0;CoChien_3;18154.4;1774.4
CC10P2;CC10P2;CC;CoChien;CC;10;P2;638738.4;1115486.2;no;;;1014.0;;;;CoChien_3;17576.5;14.9;Mo Cay;565.6;1283.6;C17;0.0;1646.6
CC11;CC11;CC;CoChien;CC;11;;640872.8;1111632.8;yes;49450.0;2266.2;3137.1;-17.0;577;SongCoChien;CoChien;51479.8;307.9;CoChien_4;0.0;510.6;CoChien_3;21019.5;982.8
CC12;CC12;CC;CoChien;CC;12;;643422.4;1108669.8;yes;53350.0;1580.4;2158.8;-17.6;323;SongCoChien;CoChien;55501.6;20.6;BASI_CR;640.9;1586.2;CoChien_4;3719.6;1793.6
