ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
CC5;CC;5.0;;chinh;622504.1;1131490.0;yes;CoChien;22642.5;136.5;1548.7;1608.6;-20.67;1548.7;-20.67;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2023557.5
CC6;CC;6.0;;chinh;626783.1;1128423.9;yes;CoChien;28035.7;13.5;1024.9;1227.5;-20.53;1024.9;-20.53;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2028950.7
CC6P;CC;6.0;P;nhanh;625790.0;1127672.8;yes;CoChien_2;1824.7;61.1;563.6;644.0;-12.1;563.6;-12.1;2021_SIWRP_QHPCTT;0.0;0.0;;
CC7;CC;7.0;;chinh;628574.7;1125198.7;yes;CoChien;31823.3;50.7;602.2;895.0;-19.31;602.2;-19.31;2021_SIWRP_QHPCTT;0.0;0.0;3.0;2032738.3
CC7P;CC;7.0;P;nhanh;629554.0;1125868.0;yes;CoChien_3;3595.2;26.7;713.6;1093.0;-17.41;713.6;-17.41;2021_SIWRP_QHPCTT;-0.0;0.0;;
CC8;CC;8.0;;chinh;630087.2;1120471.0;yes;CoChien;36969.6;7.2;785.5;1178.1;-20.82;785.5;-20.82;2021_SIWRP_QHPCTT;0.0;0.0;3.0;2037884.6
CC8P;CC;8.0;P;nhanh;632963.0;1122694.2;yes;CoChien_3;8269.2;50.9;639.3;608.7;-14.93;639.3;-14.93;2021_SIWRP_QHPCTT;0.0;0.0;;
CC9;CC;9.0;;chinh;633037.2;1117361.5;yes;CoChien;41263.1;57.2;1228.5;1366.0;-18.2;1228.5;-18.2;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2042178.1
CC9P;CC;9.0;P;nhanh;635734.7;1119093.2;yes;CoChien_3;12861.7;36.3;944.5;949.7;-13.63;944.5;-13.63;2021_SIWRP_QHPCTT;0.0;0.0;;
CC10;CC;10.0;;chinh;637353.3;1113178.3;yes;CoChien;47345.9;30.8;1437.9;938.7;-15.61;;;2021_SIWRP_QHPCTT;;;3.0;2048260.9
CC10P1;CC;10.0;P1;nhanh;637558.3;1114073.7;no;CoChien;47050.9;900.8;;793.6;;;;2021_SIWRP_QHPCTT;;;3.0;2047965.9
CC10P2;CC;10.0;P2;nhanh;638738.4;1115486.2;no;CoChien_3;17576.5;14.9;;1014.0;;803.7;-13.69;2021_SIWRP_QHPCTT;;;;
CC11;CC;11.0;;chinh;640872.8;1111632.8;yes;CoChien;51479.8;307.9;2266.2;3137.1;-17.0;2266.2;-17.0;2021_SIWRP_QHPCTT;0.0;0.0;3.0;2052394.8
CC12;CC;12.0;;chinh;643422.4;1108669.8;yes;CoChien;55501.6;20.6;1580.4;2158.8;-17.6;1580.4;-17.6;2021_SIWRP_QHPCTT;0.0;0.0;3.0;2056416.6
CC12P;CC;12.0;P;nhanh;644794.0;1109917.3;yes;CoChien_4;4025.8;29.0;288.7;787.5;-6.78;288.7;-6.78;2021_SIWRP_QHPCTT;0.0;0.0;;
CC13;CC;13.0;;chinh;647206.3;1106012.3;yes;CoChien;60220.0;203.9;2633.4;3516.7;-17.61;2633.4;-17.61;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2061135.0
CC14;CC;14.0;;chinh;650199.8;1104163.1;yes;CuaCoChien;2499.8;67.4;1589.5;1592.0;-14.71;1589.5;-14.71;2021_SIWRP_QHPCTT;0.0;0.0;4.0;3005191.8
CC14p;CC;14.0;P;nhanh;649108.1;1102948.5;yes;CuaCungHau;2806.6;41.1;852.4;796.2;-13.23;852.4;-13.23;2021_SIWRP_QHPCTT;-0.0;0.0;5.0;4005844.6
CC15;CC;15.0;;chinh;654102.6;1101567.4;yes;CuaCoChien;7191.5;50.5;1406.6;1760.3;-15.87;1406.6;-15.87;2021_SIWRP_QHPCTT;0.0;0.0;4.0;3009883.5
CC15P;CC;15.0;P;nhanh;652363.2;1099653.8;yes;CuaCungHau;7496.5;45.9;1100.3;1424.0;-12.78;1100.3;-12.78;2021_SIWRP_QHPCTT;0.0;0.0;5.0;4010534.5
CC16;CC;16.0;;chinh;658197.9;1099213.2;yes;CuaCoChien;11937.3;38.5;1273.5;1505.2;-13.59;1273.5;-13.59;2021_SIWRP_QHPCTT;0.0;0.0;4.0;3014629.3
CC16P;CC;16.0;P;nhanh;656709.4;1095843.4;yes;CuaCungHau;13292.8;3.3;1219.4;1653.3;-12.96;;;2021_SIWRP_QHPCTT;;;5.0;4016330.8
