nhanh;chainage;type;sub;loai;nhan;file_dfs0;item;cot_obs;nguon;co_so_lieu
BOILOI;2458.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
BON THUOC1;200.0;1;0;nhap_luu;W28;Waterdemand2.dfs0;QLPH/28;;;no
BON THUOC2;3000.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
BON THUOC2;6250.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
BONG BINH1;2000.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
BONG BINH1;2000.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
BRANCH1001;1260.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1002;2338.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1002;7591.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1003;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1003;1863.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1006;3000.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1008;3621.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1009;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1012;3000.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1013;3000.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1015;1368.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1018;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1018;3916.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1019;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1020;3000.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1022;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1023;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1024;200.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1025;4767.0;1;0;nhap_luu;W48;Waterdemand2.dfs0;W48;;;no
BRANCH1027;914.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1028;4750.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1029;3000.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1030;2704.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
BRANCH1031;1866.0;1;0;nhap_luu;W47;Waterdemand2.dfs0;W47;;;no
